ITEM #,CATEGORY,Name,DESCRIPTION,DIMENSIONS   (W x H x L),WS PRICE,MSRP,STRAP LENGTH, COLLECTION ,UPC CODE
4761427,Handbag,Scoop Top Structured Hobo,"Scoop-top hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 3.5,$99.00,$198.00,"13-14"" drop",Downtown Diva,671893042400
4761499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots and sparkling crystal spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$21.00,$42.00,N/A,Downtown Diva,671893042417
4761826,Handbag,3 Compartment Zip-Top Tote,"3 Compartment Zip-Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 5,$110.00,$220.00,"11"" drop",Downtown Diva,671893042424
4761882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$32.00,$64.00,N/A,Downtown Diva,671893042431
4774217,Handbag,Crossbody Zip-Top Bucket,"Crossbody Zip-Top Bucket, with back exterior zipper compartment and an adjustable shoulder strap. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots and sparkling crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 8 x 4,$72.50,$145.00,"21-25"" drop",Color Me Pretty,671893042448
4774270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Downtown Diva,671893042455
4774282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Downtown Diva,671893042462
4774285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$84.00,$168.00,"11-14"" drop",Downtown Diva,671893042479
4774427,Handbag,Scoop Top Structured Hobo,"Scoop-top hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 3.5,$99.00,$198.00,"13-14"" drop",Downtown Diva,671893042486
4774499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots and sparkling crystal spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$21.00,$42.00,N/A,Downtown Diva,671893042493
4774826,Handbag,3 Compartment Zip-Top Tote,"3 Compartment Zip-Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 5,$110.00,$220.00,"11"" drop",Downtown Diva,671893042509
4774882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned fuchsia pink leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$32.00,$64.00,N/A,Downtown Diva,671893042516
5038274,Handbag,3 Compartment Tote with side pockets,"Three compartment tote with side pockets. Inside has main compartment with zipper closure, and compartments on either side with magnetic snap closure. Inside has a zipper compartment and two pouches. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee","12 x 10 x 4.5""",$127.00,$254.00,"11"" drop",Victorian Grace,671893042523
5038282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Victorian Grace,671893040390
5038394,Ladies' Accessory,Ladies' Accessory Case,"Ladies' Zipper Accessory Case. Inside is fully lined with plastic. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 4.5 x 3,$32.00,$64.00,N/A,Victorian Grace,671893042530
5038499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$21.00,$42.00,N/A,Victorian Grace,671893040420
5038620,Handbag,Zip-Top Everyday Hobo with 2 Side Pockets,"Zip-top hobo with two side pockets and adjustable strap. Inside has a zipper compartment and two pouches. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9.5 x 8 x 4.5 ,$89.00,$178.00,"12-14"" drop",Victorian Grace,671893040437
5038642,Handbag,Large 3 Compartment Shopper,"Large 3 compartment shopper. Inside has middle zipper compartment, and two open compartments on either side. Interior flap snaps shut. Inside has zipper pocket and two pouches. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 5,$119.00,$238.00,"12"" drop",Victorian Grace,671893042547
5038651,Handbag,Zip-Around East-West Tote,"Zip-Around East-West Tote. Inside has zipper compartment and two pouches. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14.5 x 8.5 x 5,$99.00,$198.00,"11"" drop",Victorian Grace,671893040444
5038682,Ladies' Accessory,Wallet with Adjustable Strap,"Ladies Hipster Wallet with adjustable, detachable shoulder strap. Inside has two large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 4 x 1.5,$49.00,$98.00,"27 - 29"" drop",Victorian Grace,671893042554
5038690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$60.00,$120.00,N/A,Victorian Grace,671893040451
5038691,Dayplanner,Small Dayplanner with Insert,"Small dayplanner with reorderable daily planner. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",6 x 9,$37.00,$74.00,N/A,Victorian Grace,671893042561
5038790,Gift,"Small Address Book, Checkbook Holder","Small address book/checkbook cover with contact organizer. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4 x 7,$27.00,$54.00,N/A,Victorian Grace,671893042578
5038882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand-tooled vegetable tanned rich brown leather, cut in a scroll pattern on top of light exotic brindle cowhide leather, and accented with contrast stitching and antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Victorian Grace,671893040468
5055499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand-tooled vegetable tanned dark chocolate brown leather trims a crackled, tumbled soft brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$19.00,$38.00,N/A,Road Trip,671893042585
5055799,New cell phone case,"Camera, PDA, MP3 Player, Cell Phone Case","Small Case made to fit MP3 Players, digital cameras, PDAs, and cell phones. Snap closure on flap. Durable metal belt clip on back. Hand-tooled vegetable tanned dark chocolate brown leather trims a crackled, tumbled soft brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.25 x 5 x 1,$21.00,$42.00,N/A,Road Trip,671893042592
5065217,Handbag,Crossbody Zip-Top Bucket,"Crossbody Zip-Top Bucket, with back exterior zipper compartment and an adjustable shoulder strap. Inside has zipper pocket and two pouches. Hand-tooled vegetable tanned chocolate brown leather body with hand tooled patches in earthy brown tones. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 8 x 4,$72.50,$145.00,"21-25"" drop",Color Me Pretty,671893042608
5065560,Handbag,Zip Top Tote,"Zip Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned caramel leather trim, with hand tooled dark chocolate vegetable tanned leather body. Caramel brown leather Cowboy cut-outs are stitched on top. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",12 x 11 x 5,$104.00,$208.00,"11"" drop ",Boot Scoot Boogie,671893042615
5202112,Handbag,3 Compartment Traveler,"3 Compartment Traveler with multiple organizing pockets. 1 main compartment with zipper closure, and 2 outer compartments with magnetic closure. Inside also has a zipper pocket and two open pouches. Back zipper compartment, and 2 side open accessory pockets. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with tan stain to create a two-tone effect, and trimmed with tan hand tooled leather. Accented with silver spots and a scroll cut-out design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 12 x 4.5,$122.50,$245.00,"11"" drop",Road Trip Totes,671893041786
5202282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned caramel leather, hand rubbed for a unique finish, and hand tooled tan leather. Accented with silver spots and a scroll cut-out design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$36.00,$72.00,N/A,Road Trip Totes,671893041823
5220270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand-tooled vegetable tanned black leather, accented with silver spots and decorative metal corners. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Silver Trails,671893042622
5220275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand-tooled vegetable tanned black leather, accented with silver spots, an elegant silver buckle and decorative metal corners. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$84.00,$168.00,"12-14"" drop",Silver Trails,671893042639
5220282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand-tooled vegetable tanned black leather, accented with silver spots and decorative metal corners. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Silver Trails,671893042646
5220427,Handbag,Scoop Top Structured Hobo,"Scoop-top hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand-tooled vegetable tanned black leather, accented with silver spots, an elegant silver buckle and decorative metal corners. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 3.5,$94.50,$189.00,"13-14"" drop",Silver Trails,671893042653
5220499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand-tooled vegetable tanned black leather accented with silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$19.00,$38.00,N/A,Silver Trails,671893042660
5220690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand-tooled vegetable tanned black leather, accented with silver spots and decorative metal corners. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$60.00,$120.00,N/A,Silver Trails,671893042677
5220769,Handbag,3 Compartment Tote with side pockets,"Three compartment tote with side pockets. Inside has a zipper compartment and two pouches. Hand-tooled vegetable tanned black leather, accented with silver spots, an elegant silver buckle and decorative metal corners. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 9 x 4.5,$99.00,$198.00,"11"" drop",Silver Trails,671893042684
5220774,Handbag,All Access Crossbody Bag,"All Access crossbody bag with adjustable shoulder strap. Back open slip pocket and 2 side open pockets. Inside has zipper compartment and two pouches. Hand-tooled vegetable tanned black leather, accented with silver spots, an elegant silver buckle and decorative metal corners. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9.5 x 9.5 x 4,$82.00,$164.00,"15-27"" drop",Silver Trails,671893042691
5565560,Handbag,Zip Top Tote,"Zip Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned dark chocolate leather, trimmed with cream chrome leather, a caramel brown leather star appliqué, and accented with antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",12 x 11 x 5,$104.00,$208.00,"11"" drop ",Boot Scoot Boogie,671893042707
5950233,Handbag,4 Compartment Tote with 3 outside pockets,"Four compartment tote with 3 outside pockets. Inside has main compartment with zip closure, and open compartments on either side. Front slip pocket, front pouch, and side open pockets. Inside also has zipper compartment and two pouches. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Accented with a custom-designed scrolled silver AW bit. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",10 x 11 x 4,$99.00,$198.00,"11"" drop",Saddleback,671893042714
5950282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Accented with a custom-designed scrolled silver AW bit. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Saddleback,671893042721
5950499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$19.00,$38.00,N/A,Saddleback,671893042738
5950620,Handbag,Zip-Top Everyday Hobo with 2 Side Pockets,"Zip-top hobo with side pockets and adjustable strap. Inside has zipper compartment and two pouches. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Accented with a custom-designed scrolled silver AW bit. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9.5 x 8 x 4.5 ,$89.00,$178.00,"11-12"" drop",Saddleback,671893042745
5950634,Handbag,Fashion Tote with Side Open Pockets,"Zip-Top Fashion Tote with back zipper compartment and front pouch. Inside has zipper pocket and pouches. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Accented with a custom-designed scrolled silver AW bit. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 3.5,$119.00,$238.00,"13"" drop",Saddleback,671893042752
5950682,Ladies' Accessory,Wallet with Adjustable Strap,"Ladies Hipster Wallet with adjustable, detachable shoulder strap. Inside has two large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Accented with a custom-designed scrolled silver AW bit. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 4 x 1.5,$49.00,$98.00,"27 - 29"" drop",Saddleback,671893042769
5950769,Handbag,3 Compartment Tote with side pockets,"Three compartment tote with side pockets. Inside has zipper pocket and pouches. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Accented with a custom-designed scrolled silver AW bit. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 9 x 4.5,$110.00,$220.00,"11"" drop",Saddleback,671893042776
5950799,New cell phone case,"Camera, PDA, MP3 Player, Cell Phone Case","Small Case made to fit MP3 Players, digital cameras, PDAs, and cell phones. Snap closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned dark chocolate brown leather with cream inlay leather accents. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.25 x 5 x 1,$21.00,$42.00,N/A,Saddleback,671893042783
6415282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned caramel colored leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$34.00,$68.00,N/A,Over the Rainbow Totes - Caramel,671893039080
6415634,Handbag,Fashion Tote with Side Open Pockets,"Zip-Top Fashion Tote with side open pockets. Inside has zipper pocket and pouches. Hand-tooled vegetable tanned caramel colored leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 3.5,$94.50,$189.00,"13"" drop",Over the Rainbow Totes - Caramel,671893039073
6434282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned cherry colored leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$34.00,$68.00,N/A,Over the Rainbow Totes - Cherry,671893039103
6434634,Handbag,Fashion Tote with Side Open Pockets,"Zip-Top Fashion Tote with side open pockets. Inside has zipper pocket and pouches. Hand-tooled vegetable tanned cherry colored leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 3.5,$94.50,$189.00,"13"" drop",Over the Rainbow Totes - Cherry,671893039097
6434882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand-tooled vegetable tanned wine red leather accented with different styles of silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Heartland,671893042790
6443282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned grape colored leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$34.00,$68.00,N/A,Over the Rainbow Totes - Grape,671893039165
6443634,Handbag,Fashion Tote with Side Open Pockets,"Zip-Top Fashion Tote with side open pockets. Inside has zipper pocket and pouches. Hand-tooled vegetable tanned grape colored leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 3.5,$94.50,$189.00,"13"" drop",Over the Rainbow Totes - Grape,671893039158
6478270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand tooled vegetable tanned antique turquoise leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$34.00,$68.00,N/A,Over the Rainbow Totes - Antique Turquoise,671893042806
6478282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned antique turquoise leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$34.00,$68.00,N/A,Over the Rainbow Totes - Antique Turquoise,671893039189
6478499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned antique turquoise leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$19.00,$38.00,N/A,Over the Rainbow Totes - Antique Turquoise,671893042813
6478634,Handbag,Fashion Tote with Side Open Pockets,"Zip-Top Fashion Tote with side open pockets. Inside has zipper pocket and pouches. Hand-tooled vegetable tanned antique turquoise leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 3.5,$94.50,$189.00,"13"" drop",Over the Rainbow Totes - Antique Turquoise,671893039172
6478745,Gift,American West Signature Keychain,"American West signature keychain made with antique turquoise leather and an open-design floral silver metal concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2 x 2,$6.00,$12.00,N/A,Keychains,671893041168
6478799,New cell phone case,"Camera, PDA, MP3 Player, Cell Phone Case","Small Case made to fit MP3 Players, digital cameras, PDAs, and cell phones. Snap closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned antique turquoise leather, hand rubbed for a unique finish. Accented with silver spots and top-stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.25 x 5 x 1,$21.00,$42.00,N/A,Over the Rainbow Totes - Antique Turquoise,671893042820
6502882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather, accented with antiqued silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Heartland,671893042837
6578882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned turquoise leather body that is hand-rubbed a second time with brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with antiqued silver spots and a scroll cut-out design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Heartland,671893042844
